rank_by_gap_desc,canonical_institution,igo_acronym,Binding Secondary Law_AcrossIGO,Compliance & Oversight_AcrossIGO,Delegated or Derived Powers_AcrossIGO,Foundational Treaties & Charters_AcrossIGO,regulatory_strength,Multi-level Planning Structures_AcrossIGO,Policy Alignment with National Plans_AcrossIGO,Reporting & Compliance Mechanisms_AcrossIGO,Technical Assistance to States_AcrossIGO,Inter-agency Technical Cooperation_AcrossIGO,Shared Monitoring Frameworks_AcrossIGO,Thematic Working Groups_AcrossIGO,delivery_capacity,regulatory_delivery_gap,regulatory_delivery_profile,regulatory_strength_rounded_3dp,delivery_capacity_rounded_3dp,regulatory_delivery_gap_rounded_3dp
24,United Nations Office for Project Services (UNOPS),UNOPS,10.0,0.0,0.0,0.0,2.5,0,0,2,2,0.0,0.0,0.0,0.5714285714285714,1.9285714285714286,Regulatory-heavy,2.5,0.571,1.929
25,Ramsar Convention on Wetlands Secretariat (Ramsar),Ramsar,6.666666666666666,0.0,0.0,6.666666666666666,3.333333333333333,0,0,2,6,0.0,1.666666666666667,1.666666666666667,1.6190476190476193,1.7142857142857137,Regulatory-heavy,3.333,1.619,1.714
26,United Nations Environment Programme (UNEP),UNEP,0.0,0.0,4.166666666666667,6.666666666666666,2.708333333333333,2,0,0,0,1.666666666666667,1.666666666666667,1.666666666666667,1.0000000000000002,1.7083333333333328,Regulatory-heavy,2.708,1.0,1.708
27,International Trade Centre (ITC),ITC,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,2,2,2,2,1.666666666666667,1.666666666666667,1.666666666666667,1.8571428571428577,1.6845238095238089,Regulatory-heavy,3.542,1.857,1.685
28,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,IMO,7.5,0.0,0.0,7.5,3.75,2,0,0,10,1.666666666666667,0.0,1.666666666666667,2.1904761904761907,1.5595238095238093,Regulatory-heavy,3.75,2.19,1.56
29,World Meteorological Organization (WMO),WMO,8.333333333333334,0.0,0.0,6.666666666666666,3.75,0,0,4,8,1.666666666666667,0.0,1.666666666666667,2.1904761904761907,1.5595238095238093,Regulatory-heavy,3.75,2.19,1.56
30,"United Nations Industrial Development Organization (UNIDO),",UNIDO,0.0,0.0,0.0,7.5,1.875,2,0,0,0,0.0,0.0,1.666666666666667,0.5238095238095238,1.3511904761904763,Regulatory-heavy,1.875,0.524,1.351
31,International Hydrographic Organization (IHO),IHO,8.333333333333334,0.0,0.0,6.666666666666666,3.75,0,0,4,8,1.666666666666667,1.666666666666667,1.666666666666667,2.4285714285714293,1.3214285714285707,Regulatory-heavy,3.75,2.429,1.321
32,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),CITES,6.666666666666666,0.0,0.0,8.333333333333334,3.75,2,0,8,4,0.0,1.666666666666667,1.666666666666667,2.4761904761904767,1.2738095238095233,Regulatory-heavy,3.75,2.476,1.274
33,Food and Agriculture Organization of the United Nations (FAO),FAO,0.0,0.0,4.166666666666667,8.333333333333334,3.125,2,2,0,4,1.666666666666667,1.666666666666667,1.666666666666667,1.8571428571428577,1.2678571428571423,Regulatory-heavy,3.125,1.857,1.268
34,Climate Change Secretariat,UNFCCC,0.0,0.0,0.0,6.666666666666666,1.6666666666666665,0,0,0,0,0.0,1.666666666666667,1.666666666666667,0.4761904761904763,1.1904761904761902,Regulatory-heavy,1.667,0.476,1.19
35,World Food Programme (WFP),WFP,7.5,0.0,0.0,0.0,1.875,0,2,0,0,1.666666666666667,0.0,1.666666666666667,0.761904761904762,1.1130952380952381,Regulatory-heavy,1.875,0.762,1.113
36,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",UNHCR/OHCHR,0.0,0.0,0.0,9.166666666666666,2.2916666666666665,0,2,6,0,1.666666666666667,1.666666666666667,0.0,1.6190476190476193,0.6726190476190472,Regulatory-heavy,2.292,1.619,0.673
37,United Nations Children’s Fund (UNICEF),UNICEF,0.0,0.0,0.0,9.166666666666666,2.2916666666666665,2,0,2,4,1.666666666666667,0.0,1.666666666666667,1.6190476190476193,0.6726190476190472,Regulatory-heavy,2.292,1.619,0.673
38,International Seabed Authority,ISA,0.0,0.0,0.0,6.666666666666666,1.6666666666666665,2,0,0,6,0.0,0.0,0.0,1.1428571428571428,0.5238095238095237,Regulatory-heavy,1.667,1.143,0.524
39,UN Population Fund (UNFPA),UNFPA,0.0,0.0,0.0,6.666666666666666,1.6666666666666665,2,0,2,2,1.666666666666667,0.0,1.666666666666667,1.3333333333333335,0.33333333333333304,Regulatory-heavy,1.667,1.333,0.333
40,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",BRS,6.666666666666666,0.0,0.0,6.666666666666666,3.333333333333333,0,2,6,10,1.666666666666667,0.0,1.666666666666667,3.047619047619048,0.28571428571428514,Regulatory-heavy,3.333,3.048,0.286
41,World Trade Organization (WTO),WTO,6.666666666666666,0.0,0.0,0.0,1.6666666666666665,0,0,2,6,0.0,1.666666666666667,1.666666666666667,1.6190476190476193,0.04761904761904723,Near-aligned,1.667,1.619,0.048
42,International Atomic Energy Agency (IAEA),IAEA,0.0,0.0,0.0,10.0,2.5,0,2,4,8,1.666666666666667,0.0,1.666666666666667,2.4761904761904767,0.02380952380952328,Near-aligned,2.5,2.476,0.024
43,Division for Ocean Affairs and the Law of the Sea (UN DOALOS),UN DOALOS,0.0,5.0,0.0,6.666666666666666,2.9166666666666665,0,0,4,10,5.0,0.0,1.666666666666667,2.9523809523809526,-0.03571428571428603,Near-aligned,2.917,2.952,-0.036
44,United Nations Human Settlements Programme (UN-Habitat),UN-Habitat,0.0,0.0,0.0,6.666666666666666,1.6666666666666665,4,0,4,4,0.0,0.0,1.666666666666667,1.9523809523809526,-0.28571428571428603,Delivery-heavy,1.667,1.952,-0.286
45,UN Research Institute for Social Development (UNRISD),UNRISD,6.666666666666666,0.0,0.0,0.0,1.6666666666666665,2,2,4,0,5.0,0.0,1.666666666666667,2.0952380952380953,-0.4285714285714288,Delivery-heavy,1.667,2.095,-0.429
46,International Fund for Agricultural Development (IFAD),IFAD,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,1.666666666666667,0.5238095238095238,-0.5238095238095238,Delivery-heavy,0.0,0.524,-0.524
47,United Nations Conference on Trade and Development (UNCTAD),UNCTAD,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0,0.0,1.666666666666667,0.8095238095238095,-0.8095238095238095,Delivery-heavy,0.0,0.81,-0.81
48,United Nations Office for Disaster Risk Reduction (UNDRR),UNDRR,0.0,0.0,0.0,0.0,0.0,2,0,0,6,0.0,1.666666666666667,1.666666666666667,1.6190476190476193,-1.6190476190476193,Delivery-heavy,0.0,1.619,-1.619
