institution,ordinal_score_vertical_coordination,un_to_member_states__within_igo,global_regional_national_coordination__within_igo,intergovernmental_to_national_institutions__within_igo,technical_assistance_to_states__within_igo,policy_alignment_with_national_plans__within_igo,regional_implementing_partners__within_igo,reporting_and_compliance_mechanisms__within_igo,multi_level_planning_structures__within_igo,data_integration_systems__within_igo,sectoral_to_national_coordination__within_igo,un_to_member_states__across_igo,global_regional_national_coordination__across_igo,intergovernmental_to_national_institutions__across_igo,technical_assistance_to_states__across_igo,policy_alignment_with_national_plans__across_igo,regional_implementing_partners__across_igo,reporting_and_compliance_mechanisms__across_igo,multi_level_planning_structures__across_igo,data_integration_systems__across_igo,sectoral_to_national_coordination__across_igo
IPCC,5,10.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,3.333333333333,2.5,0.0,0.0,0.0
World Trade Organization (WTO),5,10.0,3.333333333333,0.0,10.0,0.0,3.333333333333,3.333333333333,0.0,0.0,0.0,6.666666666667,0.0,0.0,6.0,0.0,3.333333333333,2.5,0.0,0.0,0.0
International Organization for Migration (IOM),5,10.0,3.333333333333,3.333333333333,0.0,3.333333333333,0.0,3.333333333333,0.0,0.0,0.0,6.666666666667,0.0,10.0,0.0,10.0,0.0,2.5,0.0,0.0,0.0
United Nations Office for Project Services (UNOPS),6,10.0,5.0,5.0,5.0,0.0,10.0,5.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,2.0,0.0,6.666666666667,2.5,0.0,0.0,0.0
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),6,10.0,3.333333333333,3.333333333333,0.0,0.0,6.666666666667,6.666666666667,0.0,0.0,3.333333333333,6.666666666667,0.0,10.0,0.0,0.0,6.666666666667,5.0,0.0,0.0,10.0
World Intellectual Property Organisation (WIPO),6,10.0,5.0,5.0,10.0,5.0,10.0,0.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,4.0,10.0,6.666666666667,0.0,0.0,0.0,0.0
UN Population Fund (UNFPA),7,10.0,5.0,5.0,5.0,0.0,10.0,5.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,2.0,0.0,6.666666666667,2.5,5.0,0.0,0.0
United Nations Human Settlements Programme (UN-Habitat),7,10.0,3.333333333333,3.333333333333,6.666666666667,0.0,6.666666666667,6.666666666667,6.666666666667,0.0,0.0,6.666666666667,0.0,10.0,4.0,0.0,6.666666666667,5.0,10.0,0.0,0.0
World Food Programme (WFP),5,10.0,5.0,5.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,10.0,6.666666666667,0.0,0.0,0.0,0.0
World Tourism Organization/UN Tourism (UNWTO),5,10.0,3.333333333333,3.333333333333,0.0,0.0,10.0,0.0,0.0,0.0,3.333333333333,6.666666666667,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
UN Research Institute for Social Development (UNRISD),7,10.0,2.5,2.5,0.0,2.5,2.5,5.0,2.5,0.0,0.0,10.0,0.0,10.0,0.0,10.0,3.333333333333,5.0,5.0,0.0,0.0
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",5,2.0,2.0,0.0,10.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,7.5,0.0,0.0,0.0
Secretariat of the Convention on Biological Diversity (CBD),5,10.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,0.0,2.5,5.0,0.0,0.0
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),7,2.5,2.5,2.5,5.0,0.0,2.5,10.0,2.5,0.0,0.0,0.0,0.0,10.0,4.0,0.0,3.333333333333,10.0,5.0,0.0,0.0
Secretariat of the Convention on Migratory Species (CMS),5,10.0,5.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,5.0,0.0,0.0,0.0
International Fund for Agricultural Development (IFAD),5,10.0,3.333333333333,3.333333333333,0.0,3.333333333333,6.666666666667,0.0,0.0,0.0,0.0,6.666666666667,0.0,10.0,0.0,10.0,6.666666666667,0.0,0.0,0.0,0.0
International Trade Centre (ITC),8,10.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,2.0,10.0,6.666666666667,2.5,5.0,0.0,0.0
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),5,10.0,5.0,5.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,2.5,0.0,0.0,0.0
United Nations University (UNU),4,6.666666666667,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,3.333333333333,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0
Ramsar Convention on Wetlands Secretariat (Ramsar),5,3.333333333333,3.333333333333,0.0,10.0,0.0,3.333333333333,3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.333333333333,2.5,0.0,0.0,0.0
Minamata Convention on Mercury (Minamata),4,10.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
United Nations Office for Outer Space Affairs (UNOOSA),4,10.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0
United Nations Office on Drugs and Crime (UNODC),6,10.0,3.333333333333,3.333333333333,0.0,3.333333333333,6.666666666667,6.666666666667,0.0,0.0,0.0,6.666666666667,0.0,10.0,0.0,10.0,6.666666666667,5.0,0.0,0.0,0.0
