institution,ordinal_score_subject_matter_jurisdiction,environmental_protection_and_climate_change__within_igo,sustainable_development_and_capacity_building__within_igo,international_cooperation_and_governance__within_igo,research_science_and_innovation__within_igo,biodiversity_and_ecosystem_conservation__within_igo,trade_investment_and_economic_cooperation__within_igo,human_rights_social_justice_and_advocacy__within_igo,security_and_safety__within_igo,disaster_risk_reduction_and_resilience__within_igo,cultural_heritage_traditional_knowledge_and_data_governance__within_igo,environmental_protection_and_climate_change__across_igo,sustainable_development_and_capacity_building__across_igo,international_cooperation_and_governance__across_igo,research_science_and_innovation__across_igo,biodiversity_and_ecosystem_conservation__across_igo,trade_investment_and_economic_cooperation__across_igo,human_rights_social_justice_and_advocacy__across_igo,security_and_safety__across_igo,disaster_risk_reduction_and_resilience__across_igo,cultural_heritage_traditional_knowledge_and_data_governance__across_igo
IPCC,3,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
World Trade Organization (WTO),5,6.666666666667,10.0,3.333333333333,6.666666666667,0.0,6.666666666667,0.0,0.0,0.0,0.0,4.0,6.0,3.333333333333,3.333333333333,0.0,4.0,0.0,0.0,0.0,0.0
International Organization for Migration (IOM),5,10.0,5.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,4.0,2.0,3.333333333333,0.0,0.0,2.0,6.666666666667,0.0,0.0,0.0
United Nations Office for Project Services (UNOPS),4,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,0.0
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),5,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.666666666667,4.0,0.0,0.0
World Intellectual Property Organisation (WIPO),5,0.0,6.666666666667,10.0,0.0,6.666666666667,6.666666666667,3.333333333333,0.0,0.0,0.0,0.0,4.0,10.0,0.0,3.333333333333,4.0,3.333333333333,0.0,0.0,0.0
UN Population Fund (UNFPA),6,6.666666666667,6.666666666667,3.333333333333,6.666666666667,0.0,0.0,10.0,0.0,0.0,0.0,4.0,4.0,3.333333333333,3.333333333333,0.0,0.0,10.0,0.0,0.0,0.0
United Nations Human Settlements Programme (UN-Habitat),5,6.666666666667,10.0,3.333333333333,6.666666666667,6.666666666667,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.333333333333,3.333333333333,3.333333333333,0.0,0.0,0.0,0.0,0.0
World Food Programme (WFP),3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
World Tourism Organization/UN Tourism (UNWTO),3,3.333333333333,10.0,0.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
