institution,ordinal_score_strategies,strategic_and_institutional_planning__within_igo,financial_and_budgetary_management__within_igo,policy_regulation_and_legal_frameworks__within_igo,environmental_climate_and_biodiversity_action__within_igo,knowledge_research_and_data_systems__within_igo,innovation_and_technology_development__within_igo,inclusion_rights_and_social_justice__within_igo,capacity_development_and_operational_delivery__within_igo,collaboration_partnerships_and_networks__within_igo,monitoring_evaluation_and_accountability__within_igo,strategic_and_institutional_planning__across_igo,financial_and_budgetary_management__across_igo,policy_regulation_and_legal_frameworks__across_igo,environmental_climate_and_biodiversity_action__across_igo,knowledge_research_and_data_systems__across_igo,innovation_and_technology_development__across_igo,inclusion_rights_and_social_justice__across_igo,capacity_development_and_operational_delivery__across_igo,collaboration_partnerships_and_networks__across_igo,monitoring_evaluation_and_accountability__across_igo
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),7,6.666666666667,6.666666666667,6.666666666667,10.0,10.0,10.0,0.0,0.0,0.0,6.666666666667,3.333333333333,3.333333333333,5.0,6.0,5.0,7.5,0.0,0.0,0.0,3.333333333333
IPCC,4,0.0,7.5,0.0,10.0,7.5,0.0,0.0,0.0,0.0,7.5,0.0,5.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,5.0
World Trade Organization (WTO),6,6.666666666667,6.666666666667,10.0,0.0,0.0,3.333333333333,3.333333333333,0.0,3.333333333333,0.0,3.333333333333,3.333333333333,7.5,0.0,0.0,2.5,3.333333333333,0.0,1.666666666667,0.0
International Organization for Migration (IOM),6,10.0,8.0,2.0,6.0,4.0,4.0,0.0,4.0,0.0,0.0,8.333333333333,6.666666666667,2.5,6.0,3.333333333333,5.0,0.0,5.0,0.0,0.0
United Nations Office for Project Services (UNOPS),6,10.0,7.5,5.0,0.0,2.5,2.5,0.0,5.0,5.0,0.0,6.666666666667,5.0,5.0,0.0,1.666666666667,2.5,0.0,5.0,3.333333333333,0.0
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),8,10.0,6.666666666667,6.666666666667,0.0,6.666666666667,6.666666666667,10.0,6.666666666667,10.0,0.0,5.0,3.333333333333,5.0,0.0,3.333333333333,5.0,10.0,5.0,5.0,0.0
World Intellectual Property Organisation (WIPO),7,10.0,6.666666666667,3.333333333333,3.333333333333,6.666666666667,10.0,10.0,6.666666666667,0.0,0.0,5.0,3.333333333333,2.5,2.0,3.333333333333,7.5,10.0,5.0,0.0,0.0
UN Population Fund (UNFPA),8,6.0,4.0,4.0,0.0,6.0,2.0,4.0,4.0,0.0,10.0,5.0,3.333333333333,5.0,0.0,5.0,2.5,6.666666666667,5.0,0.0,8.333333333333
United Nations Human Settlements Programme (UN-Habitat),8,10.0,6.0,2.0,4.0,0.0,4.0,2.0,4.0,4.0,6.0,8.333333333333,5.0,2.5,4.0,0.0,5.0,3.333333333333,5.0,3.333333333333,5.0
World Food Programme (WFP),8,5.0,5.0,3.333333333333,3.333333333333,3.333333333333,5.0,0.0,5.0,0.0,10.0,5.0,5.0,5.0,4.0,3.333333333333,7.5,0.0,7.5,0.0,10.0
World Tourism Organization/UN Tourism (UNWTO),6,10.0,0.0,4.0,0.0,2.0,4.0,0.0,6.0,6.0,0.0,8.333333333333,0.0,5.0,0.0,1.666666666667,5.0,0.0,7.5,5.0,0.0
UN Research Institute for Social Development (UNRISD),8,10.0,10.0,10.0,7.5,7.5,2.5,5.0,0.0,5.0,0.0,6.666666666667,6.666666666667,10.0,6.0,5.0,2.5,6.666666666667,0.0,3.333333333333,0.0
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",8,6.666666666667,6.666666666667,0.0,6.666666666667,10.0,6.666666666667,0.0,3.333333333333,10.0,3.333333333333,3.333333333333,3.333333333333,0.0,4.0,5.0,5.0,0.0,2.5,5.0,1.666666666667
Secretariat of the Convention on Biological Diversity (CBD),10,10.0,8.0,4.0,4.0,6.0,0.0,2.0,2.0,10.0,2.0,10.0,8.333333333333,7.5,6.0,6.666666666667,2.5,6.666666666667,5.0,10.0,3.333333333333
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),9,4.0,10.0,4.0,4.0,4.0,2.0,0.0,6.0,6.0,6.0,3.333333333333,8.333333333333,5.0,4.0,3.333333333333,2.5,0.0,7.5,5.0,5.0
Secretariat of the Convention on Migratory Species (CMS),8,7.5,7.5,7.5,7.5,2.5,5.0,0.0,5.0,10.0,0.0,5.0,5.0,7.5,6.0,1.666666666667,5.0,0.0,5.0,6.666666666667,0.0
International Fund for Agricultural Development (IFAD),8,8.333333333333,10.0,3.333333333333,8.333333333333,0.0,5.0,3.333333333333,5.0,3.333333333333,0.0,8.333333333333,10.0,5.0,10.0,0.0,7.5,6.666666666667,7.5,3.333333333333,0.0
International Trade Centre (ITC),6,8.0,10.0,2.0,4.0,4.0,6.0,0.0,0.0,4.0,0.0,6.666666666667,8.333333333333,2.5,4.0,3.333333333333,7.5,0.0,0.0,3.333333333333,0.0
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),7,5.0,7.5,5.0,10.0,7.5,7.5,0.0,7.5,0.0,0.0,3.333333333333,5.0,5.0,8.0,5.0,7.5,0.0,7.5,0.0,0.0
United Nations University (UNU),7,7.5,7.5,7.5,0.0,5.0,2.5,0.0,10.0,0.0,5.0,5.0,5.0,7.5,0.0,3.333333333333,2.5,0.0,10.0,0.0,3.333333333333
Ramsar Convention on Wetlands Secretariat (Ramsar),4,10.0,7.5,2.5,2.5,0.0,0.0,0.0,0.0,7.5,0.0,6.666666666667,5.0,2.5,2.0,0.0,0.0,0.0,0.0,5.0,0.0
Minamata Convention on Mercury (Minamata),8,4.0,10.0,2.0,8.0,4.0,6.0,0.0,8.0,10.0,0.0,3.333333333333,8.333333333333,2.5,8.0,3.333333333333,7.5,0.0,10.0,8.333333333333,0.0
United Nations Office for Outer Space Affairs (UNOOSA),5,10.0,6.666666666667,0.0,0.0,6.666666666667,6.666666666667,0.0,0.0,6.666666666667,0.0,5.0,3.333333333333,0.0,0.0,3.333333333333,5.0,0.0,0.0,3.333333333333,0.0
United Nations Office on Drugs and Crime (UNODC),9,10.0,6.0,6.0,0.0,4.0,2.0,2.0,4.0,6.0,6.0,8.333333333333,5.0,7.5,0.0,3.333333333333,2.5,3.333333333333,5.0,5.0,5.0
