IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
WMO,IHO,0.8373163073136545,0.9420497435452668,-0.1047334362316124,False,False
WMO,WTO,0.8108042048111952,0.8874781043527545,-0.0766738995415593,False,False
WMO,BRS,0.5571807966856285,0.927373251103075,-0.3701924544174465,False,False
WMO,Minamata,0.5576445872035813,0.8872793473111105,-0.3296347601075291,False,False
OECD,UNODC,0.1431017278233537,0.8607693689960585,-0.7176676411727048,False,False
WBG,UNFPA,0.3559079344107322,0.8657543779579404,-0.5098464435472082,False,False
IHO,ICES,0.4742368584900922,0.8916596678728003,-0.417422809382708,False,False
IHO,WTO,0.6389427783583823,0.9136761612512888,-0.2747333828929066,False,False
IHO,Minamata,0.3312310534780897,0.8700845238578782,-0.5388534703797885,False,False
ICES,IPCC,0.2027499076577011,0.8639892316844487,-0.6612393240267476,False,False
ICES,WTO,0.5367487927682597,0.9029819101537716,-0.366233117385512,False,False
ICES,IOM,0.4266742500485534,0.9169125467927002,-0.4902382967441467,False,False
ICES,UN Women,0.0,0.8769682567691635,-0.8769682567691635,False,False
ICES,CBD,0.5369757124351187,0.878719731846592,-0.3417440194114733,False,False
ICES,Minamata,0.2101250268557926,0.8638159735961249,-0.6536909467403323,False,False
IPCC,IOM,0.3569340945903338,0.8985848456460008,-0.541650751055667,False,False
IPCC,UN Women,0.0,0.8944735859892596,-0.8944735859892596,False,False
IPCC,CBD,0.0,0.8854209450003312,-0.8854209450003312,False,False
IPCC,UNCCD,0.6500747741854638,0.903348598086462,-0.2532738239009982,False,False
IPCC,UNOOSA,0.1516196087157806,0.8959088025157753,-0.7442891937999947,False,False
WTO,Ramsar,0.4317125341772519,0.8767597815710904,-0.4450472473938384,False,False
WTO,Minamata,0.6238480643742428,0.862879414634206,-0.2390313502599632,False,False
IOM,UN Women,0.3203581541090472,0.9013078366202022,-0.580949682511155,False,False
IOM,CBD,0.491260039765468,0.8689591539644693,-0.3776991141990012,False,False
IOM,UNCCD,0.4485987784838147,0.8697339672134331,-0.4211351887296183,False,False
UN Women,UNWTO,0.1215822227231097,0.8624023498684684,-0.7408201271453587,False,False
UN Women,UNCCD,0.388973310661052,0.8880989890136822,-0.4991256783526301,False,False
WIPO,UNWTO,0.3888212547101155,0.8721159785066044,-0.4832947237964888,False,False
WIPO,UNOOSA,0.6092717958449425,0.8691596480540743,-0.2598878522091318,False,False
UNFPA,ITC,0.4136701519960153,0.8967369859433528,-0.4830668339473374,False,False
WFP,UNWTO,0.2446795033779537,0.9040305171214006,-0.6593510137434468,False,False
WFP,IFAD,0.4879500364742666,0.9307602297535188,-0.4428101932792521,False,False
UNWTO,UNCCD,0.3458245027341297,0.902112525305402,-0.5562880225712723,False,False
UNWTO,UNOOSA,0.4467216111975556,0.8665909040043265,-0.4198692928067708,False,False
BRS,CITES,0.6695982250924353,0.8893183515555306,-0.2197201264630953,False,False
CMS,UNOOSA,0.3850245995797071,0.8918487931070663,-0.5068241935273592,False,False
UNCCD,UNOOSA,0.5359422007578722,0.8786813042237949,-0.3427391034659226,False,False
