family,activations,activation_pct,within_mean,within_sd,across_mean,across_sd
Strategies,341,71.04166666666667,4.247916666666681,3.474765086038901,3.569097222222192,2.9215214384741874
Horizontal Coordination,253,52.708333333333336,2.4715277777777773,3.389197772941548,3.4270833333333246,3.7501730030455933
Inter-Institutional Relationships,286,59.583333333333336,2.8690972222222313,3.360889041867284,3.1253472222222167,3.312666428697414
Vertical Coordination,271,56.458333333333336,3.3277777777777544,3.6093889867899174,3.00694444444445,3.795814750327631
Sources of Jurisdiction or Authority,162,33.75,2.541345749158254,3.8023435013320737,2.598379629629683,3.763679048390734
Defined Objectives,233,48.541666666666664,3.27256944444444,3.8961316896584814,2.536458333333337,3.0541774598910916
Spatial Jurisdiction,112,23.333333333333332,1.4960648148148041,3.0050834441438288,2.2395833333333335,4.0880057555927225
Subject-Matter Jurisdiction,204,42.5,2.953472222222239,3.844161823400254,2.090624999999977,2.8428968041488356
